rowname,wt-ccl4-1,wt-ccl4-2,wt-ccl4-3,wt-ccl4-4,wt-ccl4-5,wt-untreated-1,wt-untreated-2,wt-untreated-3,wt-untreated-4,wt-untreated-5,yaptaz-ccl4-1,yaptaz-ccl4-2,yaptaz-ccl4-3,yaptaz-untreated-1,yaptaz-untreated-2,yaptaz-untreated-3,yaptaz-untreated-4,mgi_symbol
ENSMUSG00000030541,100.271259,174.0926,82.88498,149.079783,109.07685500000001,57.16363,44.88409,43.91015,66.01703099999999,36.8244,79.434649,103.094302,38.872455,36.567949000000006,38.28689,44.361019,42.012454,Idh2
ENSMUSG00000030543,0.0416821,0.0,0.0913813,0.0,0.0545977,0.192776,0.0816887,0.0365054,0.230005,0.0206488,0.0429034,0.0803924,0.0904979,0.0273794,0.0346307,0.0,0.0426028,Mesp2
ENSMUSG00000030544,0.0,0.0,0.0400078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0498643,0.0,0.0879403,0.0,0.0,0.0,Mesp1
ENSMUSG00000030545,33.85741,38.858239999999995,43.14761,43.852314,47.066140000000004,45.774203,18.86975,27.46671,22.061165000000003,13.638093000000001,27.96911,43.672830000000005,8.89931,47.098119999999994,10.94298,35.97969,34.52398,Pex11a
ENSMUSG00000030551,7.1825600000000005,8.05941,8.201625,7.01648,9.233889999999999,3.91329,5.22707,5.23628,9.46976,3.24959,4.83493,7.94838,2.44324,9.6485,5.49313,3.0720460000000003,4.70598,Nr2f2
ENSMUSG00000030553,0.0958691,0.106564,0.339021,0.311877,0.250415,0.206187,0.617733,0.255257,0.227151,0.0474276,0.29374,0.0,0.277297,0.623669,0.147432,0.123661,0.678529,Pgpep1l
ENSMUSG00000030554,0.0424916,0.0354534,0.122222,0.0261341,0.116862,0.0707881,0.0304431,0.0356018,0.0,0.015779,0.0577361,0.0485166,0.0272975,0.11161760000000001,0.0289546,0.0344093,0.0191524,Synm
ENSMUSG00000030555,36.912098,57.30127600000001,48.413037,60.15128800000001,52.840123000000006,40.776072,21.165985,24.531010000000002,21.631041,18.8809978,58.167495,35.122399,9.6045872,39.649640000000005,18.813052000000003,31.100399,40.214316000000004,Ttc23
ENSMUSG00000030556,6.09876,9.66602,8.13472,10.04412,8.32963,9.03933,4.24124,5.81236,2.717126,4.044897,8.658380000000001,8.02019,2.320141,7.371636,4.032697,5.180737,7.02787,Lrrc28
ENSMUSG00000030557,5.30497,4.828238,5.2365099,3.1132959999999996,6.9186070000000015,2.586123,2.220853,2.9550979999999996,2.8601219999999996,1.6716129999999998,6.605261,9.019559000000001,5.428782,4.276903,1.804731,3.114521,3.6014749999999998,Mef2a
